水饺	水饺,云吞,馄饨,饺子
饼干	曲奇饼干,酥性饼干,夹心饼干,薄脆饼干,苏打饼干,营养饼干,韧性饼干,威化饼干,蛋卷饼干
糕点	肉松饼,麻薯,花生酥,烧饼,麻花,蛋黄酥,鲜花饼,龙须酥,酸枣糕,煎饼,太阳饼,桂花糕,切糕,榴莲酥,杏仁饼,云片糕,蛋卷,沙琪玛,凤梨酥,绿豆饼,驴打滚,椰子糕,芝麻糕,桃酥
糕点	马卡龙,蛋糕,面包,面包干,巧克力派,蛋黄派
粗杂粮	红豆,黄豆,黑豆,玉米,绿豆,面粉,小米,黑米,糯米,薏米仁
大米	丝苗米,粳米,香米,五常米,糙米
南干北货	香菇,木耳,银耳,黄花菜,茶树菇,猴头菇,竹荪,榛蘑,松茸
南干北货	腐竹,干豆皮,油豆皮
南干北货	虾皮,干贝,海米
南干北货	枸杞,桂圆干,百合,莲子,枣
南干北货	粉丝,虫草花,淮山,芡实
牛奶制品	鲜牛奶,纯牛奶,有机牛奶,儿童奶,酸奶,风味奶,豆乳,奶粉,低温酸奶,低温鲜奶
饮料	中草药饮料,碳酸饮料,蛋白质饮料,功能饮料,果蔬汁,茶饮料,果味饮料,咖啡/可可饮料,泡腾片
饮用水	饮用水,矿泉水,苏打水,气泡水
咖啡	原味咖啡,特浓咖啡,黑咖啡,白咖啡,摩卡咖啡,拿铁咖啡,卡布奇诺,蓝山风味咖啡,炭烧咖啡,猫屎咖啡,曼特宁咖啡
奶茶	珍珠奶茶,热巧克力,红豆奶茶,冰奶茶,柠檬红茶,布丁奶茶,冻柠茶,咖啡奶茶,丝袜奶茶,热朱古力,冻奶茶,玫瑰奶茶,贡茶,雪顶,卡布奇诺,卡布基诺,烧仙草,鸳鸯奶茶,阿萨姆,奶盖,两杯,港式奶茶,冰柠檬茶,阿华田,冰镇奶茶,巧克力奶,伯爵奶茶,茉香奶绿,咸柠七,鲜榨果汁,冰美式,热咖啡,美禄,焦糖玛奇朵,cappuccino,拉茶	柚子蜜,越南咖啡,大杯,美式咖啡,桂圆红枣奶茶,舞茶道,拿铁,奶昔,茶吧,热饮
蜂蜜	百花蜜,椴树蜜,槐花蜜,麦卢卡,枸杞蜜
蜜炼茶	柚子茶,柠檬茶,红枣茶,芦荟茶,生姜茶,木瓜茶
奶粉	牛奶粉,羊奶粉
冲饮谷物	纯燕麦,果蔬燕麦,玉米片,燕麦能量棒,燕麦主食
冲饮谷物	芝麻糊,豆奶/豆浆粉,薏仁粉,核桃粉,枸杞粉,椰子粉,杏仁粉,藕粉,葛根粉,木瓜粉,魔芋粉
冲饮谷物	酸奶粉,果汁冲饮,可可制品,布丁粉/果冻粉
白酒	白酒
葡萄酒	红葡萄酒,白葡萄酒,桃红葡萄酒,香槟,起泡酒,冰酒,甜酒,果酒,,
洋酒	白兰地,威士忌,鸡尾酒,伏特加,力娇酒,朗姆酒,龙舌兰,金酒,清酒,烧酒
啤酒	黑啤,黄啤,白啤,烈性啤酒,精酿,原浆啤酒,果啤,,,
黄酒	黄酒
养生酒	养生酒
铁观音	铁观音,大红袍,冻顶乌龙
龙井	龙井,浙江龙井,大佛龙井,钱塘龙井,越州龙井
绿茶	西湖龙井,信阳毛尖,碧螺春,日照绿茶,雀舌,黄山毛峰,竹叶青,太平猴魁,六安瓜片,安吉白茶,洞庭碧螺春,崂山绿茶,龙井,毛峰,恩施玉露,毛尖,云雾茶
红茶	金骏眉,正山小种,祁门红茶,滇红,功夫红茶,进口茶,川红
乌龙茶	乌龙茶
花草茶	茉莉花茶,玫瑰花茶,大麦茶,荷叶茶,菊花茶,薄荷茶,玄米茶,荞麦茶,兰香子,洛神花茶,雪菊,组合型花茶,金银花茶,柠檬片,桂花茶,苦丁茶,姜茶,决明子茶,胖大海,八宝茶,百合花茶,柠檬草
花果茶	蓝莓,山楂,水蜜桃,花果茶,柠檬
黑茶	普洱,六堡茶,安化黑茶,雅安藏茶
白茶	白牡丹,福鼎白茶,白毫银针,寿眉
养生茶	黑苦荞,牛蒡,罗布麻,莓茶,绞股蓝,杜仲,青钱柳
其他茶	黄茶,袋泡茶,进口茶,再加工茶,茉莉花茶
