1,活跃度,点赞数,互粉数,出生日期,品牌名,城市级别,评论数,发表日期,正负面,文章类型,关注数,性别,id,总互动量,是否主贴,搜索关键词,分词,爱好,用户名,原文地址,用户标注情感,价格标签,省份,阅读数,具体城市,粉丝数,微博转发层级,转发数,原微博ID,原微博内容,情感,店名,抓取来源,微博数,标签,发布终端,内容,标题,用户标志,是否为水军,认证类型,产品名
27,,0,148,,tian_三九,三线城市,0,2016/4/3 8:53,,原创,644,女,3.9601E+19,1,1,支气管炎,分享|漂亮宝贝|小儿|支气管炎|咳嗽|食疗|偏方| - |组成|萝卜|姜汁|用法|温服|主治|小儿咳嗽|慢性|支气管炎|组成|姜片|来自,,梁河乡村铺子,http://weibo.com/5227287250/Dpdt7BPOM,,,云南,,德宏,183,,1,,,1,,新浪微博,37,未打标签,bShare分享,分享自漂亮宝贝《治小儿支气管炎、咳嗽食疗偏方》 - 方1： 【组成】萝卜汁1 杯、姜汁3 滴。 【用法】和匀炖温服。 【主治】小儿咳嗽，慢性支气管炎。 方2： 【组成】干姜片、白萝...  (来自 @头条博客)   http://t.cn/RqLc4Ts,,5227287250,真实用户,普通用户,发炎
28,,2,96,,tian_三九,二线城市,1,2016/5/2 7:48,,原创,300,女,3.97059E+19,3,1,流涕,我家|宝宝|11个|多月|发烧|三天|咳嗽|流涕|医生|说是|病毒感染|三天|退烧|柴黄|抗病毒|第四天|退烧|发烧|几个|晚上|休息|还好|退烧|一直|哭闹|胃口|不太好|平时|从来不|哭闹|感觉|舒服|小便|以前|这种|情况|需要|带去|医院,,?兜兜,http://weibo.com/2127815561/DtCqV6kOb,,,浙江,,杭州,243,,0,,,-1,,新浪微博,1803,未打标签,Weico.iPhone,我家宝宝11个多月，发烧三天，没有咳嗽流涕，医生说是病毒感染三天会退烧，吃小柴黄和抗病毒的药，第四天退烧了，发烧的几个晚上休息的还好，反而退烧的这晚一直哭闹不止，胃口不太好，平时从来不会这样哭闹，总感觉是哪里不舒服，小便比以前黄很多，而且味重！@崔玉涛 这种情况需要带去医院吗？,,2127815561,真实用户,普通用户,感冒
29,,0,195,1981,tian_三九,五线城市,0,2015/7/23 11:21,,原创,552,男,3.86773E+19,0,1,退热,今日|大暑|祛邪|白茶|此时|应景|消暑|佳品|尤其|银针|小儿|麻疹|圣药|退热|效果|抗生素|福建|野放|小叶|白茶|喜欢的|功效|百度|只能|保证|品质|价格,,贪玩儿的大伟,http://weibo.com/2523531591/CspUS903Z,,,江苏,,,671,,0,,,1,,新浪微博,464,未打标签,iPhone 5s,今日大暑，宜祛邪。白茶此时最应景，祛湿消暑的佳品。尤其白毫银针，小儿麻疹的圣药，退热效果超抗生素。福建野放小叶种白茶，喜欢的来，功效自己百度，我只能保证你品质和价格[西瓜] http://t.cn/R2WiW88,,2523531591,真实用户,普通用户,发烧
30,,0,49,1989,tian_三九,二线城市,0,2015/7/23 10:49,,原创,360,女,3.86772E+19,0,1,退热,何济公|止痛|退热|适应症|流行性感冒|引起|症状|头痛|发冷|发热|小儿|发热|牙痛|清热|定惊|禁忌|婴孩|生冷|油腻|燥热|食物|用法|温暖|滚水,,love小雪的秘密,http://weibo.com/2479079652/CspHQ0APJ,,,广西,,南宁,204,,0,,,1,,新浪微博,409,未打标签,nubia Z5S mini,何济公止痛退热散  【适应症】：流行性感冒引起的症状；头痛、发冷发热、骨痛、小儿发热、牙痛，清热定惊。 【禁忌】：婴孩宜戒食生冷油腻燥热食物 用法：用温暖滚水开服。这...  http://t.cn/RLid8fS,,2479079652,真实用户,普通用户,发烧
31,,0,161,,tian_三九,三线城市,0,2016/3/23 20:22,,原创,225,女,3.95629E+19,0,1,风寒,发表|博文|情诗|快板|快板|王晓莉|雷声|轰隆|冷清|窗前|桃花|散落|情侣|笑眯眯|低头|迎风|风寒|玄参|宝贝|没人|女人|自强|凄凄|檐下,体育|音乐|旅游|诗歌,奕奕清芳-----wxl,http://weibo.com/1681594063/DnChk2bIB,,,广东,,深圳,539,,0,,,-1,,新浪微博,3388,未打标签,新浪博客,发表了博文《情诗：祭的快板》祭的快板王晓莉咋暖还寒雷声轰隆冷清吗？窗前桃花的叶瓣散落一地雨，没有情侣人蕉笑眯眯不低头迎风碎了雨受了风寒的人不少玄参，这时成了宝贝脸更黑没人养的女人靠自强。没有凄凄廊檐下http://t.cn/RGs3WZf,,1681594063,真实用户,普通用户,感冒
32,,1,6,1976,tian_三九,三线城市,0,2016/3/23 18:33,,原创,196,女,3.95626E+19,1,1,风寒,明妃传|供奉|生姜|和艾灸|灾民|治病|生姜|放在|神阙穴|三阴交|点着|艾灸|姜片|转动|俗称|姜温灸|专门|腹泻|风寒|吃药|管用|特别|小孩子|来说|吃药|少用|抗生素|艾灸|秉承|古方|药理|达到|好的|治疗|效果|简便|易用,美食|白领|新闻|自由|旅游,慧泽帝妃思,http://weibo.com/2241312450/DnByUFsow,,,江苏,,无锡,147,,0,,,1,,新浪微博,2092,未打标签,iPhone 6 Plus,???「女医明妃传」中万供奉用生姜和艾灸为灾民治病！把生姜片放在神阙穴和三阴交穴，用点着的艾灸烟在姜片上转动，俗称：?隔姜温灸?专门治腹泻和风寒，比吃药还管用，特别对小孩子来说，要少吃药，少用抗生素！L.P艾灸贴秉承了古方药理！不仅能达到很好的治疗效果还做的非常简便易用?,,2241312450,真实用户,普通用户,感冒
33,,0,13,1990,tian_三九,三线城市,0,2016/3/23 17:42,,原创,439,女,3.95625E+19,0,1,风寒,一个|大写|宝宝|最近|年老|经受|风寒,婚礼|珠宝|时尚|施华洛世奇|摄影,是蠢萌不是萌蠢哒奥利奥,http://weibo.com/3267959310/DnBen8E6a,,,江苏,,苏州,992,,0,,,-1,,新浪微博,574,未打标签,iPhone 6s,一个大写的冷(///ω///)宝宝最近有些年老体迈，经受不了风寒[害羞],,3267959310,真实用户,普通用户,感冒
34,,2,117,,tian_三九,二线城市,0,2016/3/25 22:21,,原创,234,女,3.95704E+19,2,1,咳得,咳得|感觉|彻底|嗓子|几天|宝宝|开心,演员|电影|明星|旅游|90后,木子的夏天Summer,http://weibo.com/2370192072/DnVUybbm6,,,安徽,,合肥,635,,0,,,-1,,新浪微博,326,未打标签,iPhone 5s,咳得感觉肺都要出来了 彻底成了公鸭嗓子 这几天[闭嘴][闭嘴][闭嘴]  本宝宝非常不开心,,2370192072,真实用户,微博达人,咳嗽
35,,0,29,1986,tian_三九,三线城市,0,2016/5/1 23:06,,原创,148,女,3.97046E+19,0,1,流鼻涕,宝贝|对不起|麻麻|应该|生气|看到|流鼻涕|打喷嚏|心疼|不能自已,,谋_钕纸,http://weibo.com/3493268683/Dtz1hbXEU,,,陕西,,榆林,107,,0,,,-1,,新浪微博,180,未打标签,iPhone 6s,宝贝，对不起，麻麻不应该生气，看到你流鼻涕，打喷嚏，简直心疼得不能自已！,,3493268683,真实用户,普通用户,感冒
36,,1,7,,tian_三九,三线城市,1,2015/12/22 17:13,,原创,126,女,3.9229E+19,2,1,退烧药,宝宝|每次|生病|家人|一团|宝宝|发烧|37.7|奶奶|复方|感冒|颗粒|情愿|半夜|38.3|没到|38.5|我说|不用|退烧药|奶奶|坐不住|围绕|吃药|一顿|争吵|白天|鱼腥草|煮水|面条|两顿|按摩|昨晚|摆脱|抗生素|厄运,,恬淡心缘,http://weibo.com/2158064044/D9BIUDGvG,,,山东,,烟台,145,,0,,,-1,,新浪微博,489,未打标签,华为Ascend Mate7,宝宝每次生病，家人就会乱做一团。宝宝发烧才烧到37.7'就被他奶奶灌了包复方感冒颗粒，虽然我很不情愿。半夜有38.3'没到38.5'我说还不用退烧药，奶奶坐不住了，围绕吃不吃药又是一顿争吵。白天用鱼腥草煮水兑在面条里，喝了两顿，加按摩，昨晚就不烧了，摆脱了喂抗生素的厄运。,,2158064044,真实用户,普通用户,发烧
