活跃度,点赞数,互粉数,出生日期,品牌名,地理位置,checkinCity,checkinGPS,城市级别,评论数,发表日期,搜索引擎,属性,维度,特征情感对,特征词,情感值,正负面,文章类型,粉丝数级别,关注数,性别,id,总互动量,是否主贴,搜索关键词,分词,keywords_nickname,keywords_title,爱好,微博唯一标识,用户名,nickname_seg,包含图片,原文地址,用户标注情感,价格标签,产品ID,产品名,省份,阅读数,具体城市,粉丝数,微博转发层级,转发数,原微博ID,retweetedNickname,retweetedPid,原微博内容,retweetedUid,情感,店名,抓取来源,微博数,特殊结构,标签,任务ID,发布终端,内容,title_seg,标题,踩数,用户标志,是否为水军,认证类型,人工情感值判断
,,,,peiling-亨氏,,,,,,2016/5/31 16:29,,质量,产品,[hidden]-不新鲜,[hidden],负面,不新鲜,,,,,1464683346124天猫商城|41d3430df8c09a7d1b774aa7b84a45798e55acde33c2d7810ca403f1eeff4dd970475515,0,0,喜宝 米粉,宝宝|还可以|日期|新鲜|9月|过期,,德国|喜宝|hipp|有机大米|婴儿|米粉|400|4个|2920|宝宝辅食|2盒,,1464683346124天猫商城|41d3430df8c09a7d1b774aa7b84a45798e55acde33c2d7810ca403f1eeff4dd9,,,,http://detail.tmall.com/item.htm?id=45143689248,,NONE,5515,婴儿辅食-喜宝-米粉,,,,,,,,,,,,1,AWAGU海外专营店,天猫商城,,type$|,未打标签,7047,,宝宝吃了还可以，就是日期不新鲜，到9月过期,德国喜宝hipp有机大米婴儿米粉400g4个月以上 2920宝宝辅食2盒装,德国喜宝hipp有机大米婴儿米粉400g4个月以上 2920宝宝辅食2盒装,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:34,,,,,,,,,,,,1464683640124京东商城|804ba78ddf004f6cb45cd00d06031a6c3e2d5152326f4e8c0ed428e1839f5b7770475508,0,1,方广 米粉,孩子|最近|不愿|牌子|米粉|不知道|原因|下次|牌子,,方广|宝宝辅食|有机|五谷|珍宝|营养米粉|180|12|小袋|分装,,1464683640124京东商城|804ba78ddf004f6cb45cd00d06031a6c3e2d5152326f4e8c0ed428e1839f5b77,,,,http://club.jd.com/review/1523341-0-1-0.html,,NONE,5508,婴儿辅食-方广-米粉,,,,,,,,,,,,-1,方广京东自营旗舰店,京东商城,,,未打标签,7047,,孩子最近不愿吃这个牌子的米粉不知道么原因，下次要换牌子了,方广 宝宝辅食 有机五谷珍宝营养米粉180g（12小袋分装）,方广 宝宝辅食 有机五谷珍宝营养米粉180g（12小袋分装）,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:36,,,,,,,,,,,,1464683789124天猫商城|d9508bfbd7a2063b65b4cc1a9940e3eb7a43c6284c7dbeac18e49a4337fa2c9170475520,0,0,英吉利 米粉,不知道|原因|收到|两个|罐子|划花|罐子|外面|泡沫|包着|快递|划到|怀疑|产品|真实性,,英吉利|米粉|2段|3段|全段|宝宝|营养米粉|458|2罐|婴儿辅食|1段|米粉,,1464683789124天猫商城|d9508bfbd7a2063b65b4cc1a9940e3eb7a43c6284c7dbeac18e49a4337fa2c91,,,,http://detail.tmall.com/item.htm?id=14856019285,,NONE,5520,婴儿辅食-英吉利-米粉,,,,,,,,,,,,-1,英吉利旗舰店,天猫商城,,type$|,未打标签,7047,,不知道什么原因，收到两个罐子都是划花的，罐子外面都有泡沫包着快递不可能划到，这让我很怀疑产品的真实性。,英吉利米粉2段3段全段宝宝营养米粉458g*2罐米糊婴儿辅食1段米粉,英吉利米粉2段3段全段宝宝营养米粉458g*2罐米糊婴儿辅食1段米粉,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:43,,货源,渠道,[hidden]-是正品,[hidden],正面,是正品,,,,,1464684217124天猫商城|6a60792e8ae0e2fcdbd25f0a2fb37b457246e18b3e25758e37032cb4b29ef85370475504,0,0,亨氏 米粉,正品|东西|包装|不行|东西|打开|包装|里面|失望|希望|包装|用心|一点,,天猫|超市|heinz|米粉|婴儿|原味|营养米粉|400|辅食,,1464684217124天猫商城|6a60792e8ae0e2fcdbd25f0a2fb37b457246e18b3e25758e37032cb4b29ef853,,,,http://detail.tmall.com/item.htm?id=12364474109,,NONE,5504,婴儿辅食-亨氏-米粉,,,,,,,,,,,,1,天猫超市,天猫商城,,type$|,未打标签,7047,,是正品，东西是好，包装不行，收东西，打开包装，里面的都破了，有点失望，希望在包装上用心一点,【天猫超市】Heinz/亨氏米粉婴儿原味营养米粉 [1段] 400g辅食,【天猫超市】Heinz/亨氏米粉婴儿原味营养米粉 [1段] 400g辅食,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:44,,适应性,产品,宝宝-不喜欢,宝宝,负面,不喜欢,,,,,1464684262124天猫商城|7070dd6e40057313641199d5dd56a0ee327a12951dbe78581c3edc556c24e2bf70475506,0,0,亨氏 果泥,我家|宝宝|喜欢吃|浪费,,天猫|超市|heinz|牛肉|胡萝卜|113|营养|36个,,1464684262124天猫商城|7070dd6e40057313641199d5dd56a0ee327a12951dbe78581c3edc556c24e2bf,,,,http://detail.tmall.com/item.htm?id=15596830249,,NONE,5506,婴儿辅食-亨氏-泥类,,,,,,,,,,,,-1,天猫超市,天猫商城,,type$|,未打标签,7047,,我家宝宝不喜欢吃，浪费了,【天猫超市】Heinz/亨氏果泥牛肉胡萝卜泥113g营养肉泥8-36个月,【天猫超市】Heinz/亨氏果泥牛肉胡萝卜泥113g营养肉泥8-36个月,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:52,,适应性,产品,宝宝-不爱吃,宝宝,负面,不爱吃,,,,,1464684720124京东商城|0f665e1736d4b05634a5eb2e97d255beafe8049a6100ab7e0c7fb11b8ad1835a70475526,0,1,英氏 磨牙棒,还行|宝宝|不爱,,英氏|幼儿|磨牙棒|婴儿|磨牙棒|饼干|宝宝辅食|胡萝卜|口味,,1464684720124京东商城|0f665e1736d4b05634a5eb2e97d255beafe8049a6100ab7e0c7fb11b8ad1835a,,,,http://club.jd.com/review/10223433377-0-1-0.html,,NONE,5526,婴儿辅食-英氏-磨牙棒,,,,,,,,,,,,1,英氏官方旗舰店,京东商城,,,未打标签,7047,,还行不过宝宝不爱吃,英氏幼儿磨牙棒 婴儿磨牙棒 饼干 宝宝辅食 胡萝卜口味,英氏幼儿磨牙棒 婴儿磨牙棒 饼干 宝宝辅食 胡萝卜口味,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:52,,包装,渠道,[hidden]-压扁,[hidden],负面,压扁,,,,,1464684737124天猫商城|bdcf29d959cda71114c286c6cdafdd01bd9612b542422b6c073d68b624e4040070475509,0,0,方广 面条,包装|压扁,,婴儿辅食|面条|宝宝|婴儿|面条|辅食|面条|4种|口味|盒装|套餐,,1464684737124天猫商城|bdcf29d959cda71114c286c6cdafdd01bd9612b542422b6c073d68b624e40400,,,,http://detail.tmall.com/item.htm?id=35516089187,,NONE,5509,婴儿辅食-方广-面类,,,,,,,,,,,,0,方广官方旗舰店,天猫商城,,type$|,未打标签,7047,,包装都压扁了,婴儿辅食/方广面条宝宝婴儿面条辅食面条4种口味盒装套餐,婴儿辅食/方广面条宝宝婴儿面条辅食面条4种口味盒装套餐,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:53,,,,,,,,,,,,1464684780124京东商城|8637782f6d8a9a8f28ff076aabfcc3d2f22d7cff6dc82e001904168b4dc1ed3170475505,0,1,亨氏 磨牙棒,不好,,heinz|蔬菜|磨牙棒|2段|36个|适用|64,,1464684780124京东商城|8637782f6d8a9a8f28ff076aabfcc3d2f22d7cff6dc82e001904168b4dc1ed31,,,,http://club.jd.com/review/249037-0-4-0.html,,NONE,5505,婴儿辅食-亨氏-磨牙棒,,,,,,,,,,,,-1,亨氏自营旗舰店,京东商城,,,未打标签,7047,,不好,亨氏 (Heinz) 蔬菜磨牙棒 2段 (6-36个月适用) 64g,亨氏 (Heinz) 蔬菜磨牙棒 2段 (6-36个月适用) 64g,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:53,,,,,,,,,,,,1464684812124天猫商城|9ee99a56c0ef2b5b3c62f45a36c1e17ad0628dcb675aa7ee78b224b43d3bf49270475510,0,0,方广 磨牙棒,东西,,婴儿|磨牙棒|宝宝|婴儿|磨牙|饼干|3盒|婴儿辅食|营养|磨牙棒,,1464684812124天猫商城|9ee99a56c0ef2b5b3c62f45a36c1e17ad0628dcb675aa7ee78b224b43d3bf492,,,,http://detail.tmall.com/item.htm?id=526961850901,,NONE,5510,婴儿辅食-方广-磨牙棒,,,,,,,,,,,,-1,方广汇舫专卖店,天猫商城,,type$|,未打标签,7047,,?东西?挺好?的?，?就?是?断?的?特?别?多?！,方广婴儿磨牙棒 宝宝婴儿磨牙饼干（3盒装）婴儿辅食营养磨牙棒,方广婴儿磨牙棒 宝宝婴儿磨牙饼干（3盒装）婴儿辅食营养磨牙棒,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:56,,,,,,,,,,,,1464684988124天猫商城|2169e2f0dad87a8f6fe6150462ca887c0d1d4217031398bb9f8c8a43a4dbe51570475505,0,0,亨氏 磨牙棒,之前|过客|保证|包装|一盒|一条|封口处|残渣|客服|介意|2元|孩子|东西|我说|退货|买了|运费险|客服|质量|问题|问题|正品|长短不一|上面|疙瘩|气泡|我说|句句|属实|聊天记录|照片,,婴儿|牛奶|香橙|谷物|磨牙棒|组合装|宝宝|磨牙|饼干|辅食|零食|64|2盒,,1464684988124天猫商城|2169e2f0dad87a8f6fe6150462ca887c0d1d4217031398bb9f8c8a43a4dbe515,,,,http://detail.tmall.com/item.htm?id=528361666964,,NONE,5505,婴儿辅食-亨氏-磨牙棒,,,,,,,,,,,,-1,海邦母婴专营店,天猫商城,,type$|,未打标签,7047,,拍之前问过客服保证说新包装结果是旧的，货到后其中一盒有一条少了块，封口处有残渣，客服说我实在介意的话赔我2元钱，我想问要是你的孩子这样的东西你敢给她吃吗？我说退货吧自己买了运费险的，客服说质量没问题，都那样你还说没问题，正品就是长短不一，上面都是疙瘩和气泡吗？我说的句句属实，有聊天记录和照片为证！,亨氏婴儿牛奶+香橙谷物磨牙棒组合装宝宝磨牙饼干辅食零食64g*2盒,亨氏婴儿牛奶+香橙谷物磨牙棒组合装宝宝磨牙饼干辅食零食64g*2盒,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:57,,包装,渠道,[hidden]-碎,[hidden],负面,碎,,,,,1464685048124天猫商城|8499b5d31db9237b8892457903b0a951b5dc2215020cd5ab003dc004c219a23270475521,0,0,英吉利 面条,收到|面有|一个|盒子|确实|好几包|开口|封好|客服|第二天|联系|售后|第二天|联系|根本|没人|宝宝|吃的|东西|封好|你家|开口|两个,,英吉利|宝宝|面条|2盒|牛肉面|宝宝|面条|婴幼儿|面条|辅食|宝宝|面条,,1464685048124天猫商城|8499b5d31db9237b8892457903b0a951b5dc2215020cd5ab003dc004c219a232,,,,http://detail.tmall.com/item.htm?id=35246511191,,NONE,5521,婴儿辅食-英吉利-面条,,,,,,,,,,,,1,英吉利晨爱专卖店,天猫商城,,type$|,未打标签,7047,,收到面有一个盒子就全是面碎，结果一看确实有好几包开口没封好，和客服说叫我第二天联系售后，第二天联系根本没人回我！！！宝宝吃的东西口都不封好，你家的面开口两个月还会吃吗？？,英吉利宝宝面条2盒牛肉面条宝宝面条婴幼儿面条辅食宝宝面条,英吉利宝宝面条2盒牛肉面条宝宝面条婴幼儿面条辅食宝宝面条,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:58,,包装,渠道,包装-很严实,包装,正面,很严实,,,,,1464685080124淘宝网|57332942c7a2b0b1d91930b4c5d8ced29d0af9c34782b291a3e965fb33e9dd6270475512,0,0,嘉宝 米粉,包装|严实|不错,,美国进口|嘉宝|gerber|正品|混合|谷物|3段|米粉|227|宝宝|营养|食米,,1464685080124淘宝网|57332942c7a2b0b1d91930b4c5d8ced29d0af9c34782b291a3e965fb33e9dd62,,,,http://item.taobao.com/item.htm?id=40882853899,,EXPENSIVE,5512,婴儿辅食-嘉宝-米粉,,,,,,,,,,,,1,mikihui510,淘宝网,,,未打标签,7047,,有点小贵，包装很严实，不错！,美国进口嘉宝Gerber 正品混合谷物3段米粉227g 宝宝营养辅食米糊,美国进口嘉宝Gerber 正品混合谷物3段米粉227g 宝宝营养辅食米糊,,,,,-1
